chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr1,chr1:120452200-120454600,ENSG00000134249,chr1:120435156-120436155,chr1:120439119-120440118,3
chr10,chr10:135129400-135131000,ENSG00000165828,chr10:135159650-135160649,chr10:135166188-135167187,3
chr11,chr11:111407400-111408800,ENSG00000137707,chr11:111337251-111338250,chr11:111383080-111384079,3
chr2,chr2:176978600-176980000,ENSG00000170178,chr2:176963458-176964457,chr2:176966409-176967408,3
chr19,chr19:12935600-12937200,ENSG00000132026,chr19:12935292-12936291,chr19:12946243-12947242,3
chr20,chr20:9483400-9485600,ENSG00000125869,chr20:9494005-9495004,chr20:9511172-9512171,3
chr20,chr20:42881800-42883400,ENSG00000124194,chr20:42874887-42875886,chr20:42909014-42910013,3
chr17,chr17:46881000-46883200,ENSG00000170703,chr17:46838597-46839596,chr17:46894577-46895576,3
chrX,chrX:150878800-150881200,ENSG00000147378,chrX:150883507-150884506,chrX:150891667-150892666,3
chr19,chr19:51589000-51590800,ENSG00000167759,chr19:51558463-51559462,chr19:51568372-51569371,3
chr12,chr12:102143200-102144800,ENSG00000139351,chr12:102121426-102122425,chr12:102133251-102134250,3
chr20,chr20:60788800-60789800,ENSG00000101180,chr20:60789026-60790025,chr20:60795324-60796323,3
chr15,chr15:48493400-48495200,ENSG00000074803,chr15:48482861-48483860,chr15:48596276-48597275,3
chr8,chr8:56114600-56117000,ENSG00000253857,chr8:56073043-56074042,chr8:56077288-56078287,3
chr4,chr4:187161200-187163600,ENSG00000088926,chr4:187186099-187187098,chr4:187210836-187211835,3
chr9,chr9:24580000-24581400,ENSG00000205442,chr9:24541950-24542949,chr9:24545945-24546944,3
chr3,chr3:63193800-63196000,ENSG00000163630,chr3:63212991-63213990,chr3:63602598-63603597,3
chr19,chr19:51188200-51189800,ENSG00000235034,chr19:51151702-51152701,chr19:51162568-51163567,3
chr8,chr8:86266200-86267600,ENSG00000133742,chr8:86238837-86239836,chr8:86291244-86292243,3
chr6,chr6:160718200-160719600,ENSG00000112499,chr6:160591093-160592092,chr6:160698671-160699670,3
chrX,chrX:119013600-119015400,ENSG00000186471,chrX:119028800-119029799,chrX:119054680-119055679,3
chr18,chr18:18798400-18799600,ENSG00000141449,chr18:18821203-18822202,chr18:19105379-19106378,3
chr2,chr2:47563000-47565000,ENSG00000119888,chr2:47571297-47572296,chr2:47614741-47615740,3
chr17,chr17:39643000-39644000,ENSG00000197079,chr17:39631941-39632940,chr17:39637393-39638392,3
chr1,chr1:167844000-167845000,ENSG00000143199,chr1:167777625-167778624,chr1:167883454-167884453,3
chr12,chr12:128733800-128735400,ENSG00000181234,chr12:128750948-128751947,chr12:129192461-129193460,3
chr5,chr5:145709400-145711600,ENSG00000091010,chr5:145717587-145718586,chr5:145720084-145721083,3
chr3,chr3:158664600-158665200,ENSG00000214216,chr3:158679717-158680716,chr3:158984097-158985096,4
chr3,chr3:158666800-158667400,ENSG00000214216,chr3:158679717-158680716,chr3:158984097-158985096,4
chr8,chr8:56085200-56086400,ENSG00000253976,chr8:56046763-56047762,chr8:56054919-56055918,4
chr13,chr13:32284000-32285800,ENSG00000133105,chr13:32312674-32313673,chr13:32377010-32378009,4
chr6,chr6:55757200-55758400,ENSG00000112175,chr6:55617443-55618442,chr6:55740363-55741362,4
chr13,chr13:50605400-50605600,ENSG00000198553,chr13:50588390-50589389,chr13:50595059-50596058,4
chr13,chr13:50611800-50613000,ENSG00000198553,chr13:50588390-50589389,chr13:50595059-50596058,4
chr9,chr9:96132400-96133200,ENSG00000204352,chr9:96079481-96080480,chr9:96108697-96109696,4
chr15,chr15:50798000-50799000,ENSG00000170236,chr15:50791759-50792758,chr15:50838906-50839905,4
chr11,chr11:6881600-6882000,ENSG00000170782,chr11:6896856-6897855,chr11:6898851-6899850,4
chr3,chr3:97906400-97908400,ENSG00000233412,chr3:97886544-97887543,chr3:97888486-97889485,4
chr11,chr11:66212800-66214800,ENSG00000174576,chr11:66187475-66188474,chr11:66194179-66195178,4
chr11,chr11:5445200-5445600,ENSG00000187918,chr11:5473638-5474637,chr11:5475708-5476707,4
chr9,chr9:14739200-14739400,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr12,chr12:31057400-31059200,ENSG00000110900,chr12:31078362-31079361,chr12:31149535-31150534,4
chr12,chr12:21536200-21536800,ENSG00000121351,chr12:21506893-21507892,chr12:21532913-21533912,4
chr11,chr11:5444000-5445000,ENSG00000187918,chr11:5473638-5474637,chr11:5475708-5476707,4
chr3,chr3:158668600-158669000,ENSG00000214216,chr3:158679717-158680716,chr3:158984097-158985096,4
chr3,chr3:121263000-121264400,ENSG00000186103,chr3:121288551-121289550,chr3:121305482-121306481,4
chr7,chr7:31746600-31748000,ENSG00000106341,chr7:31725329-31726328,chr7:31748070-31749069,4
chr1,chr1:27193600-27195600,ENSG00000175793,chr1:27188633-27189632,chr1:27190948-27191947,4
chr5,chr5:135715000-135715800,ENSG00000069018,chr5:135547999-135548998,chr5:135732731-135733730,4
chr17,chr17:6346400-6347000,ENSG00000129221,chr17:6296013-6297012,chr17:6338520-6339519,4
chr8,chr8:82463000-82465200,ENSG00000197416,chr8:82436216-82437215,chr8:82443614-82444613,4
chr11,chr11:5422000-5422200,ENSG00000184698,chr11:5409607-5410606,chr11:5411665-5412664,4
chr12,chr12:10978000-10978200,ENSG00000121381,chr12:10960693-10961692,chr12:10962768-10963767,4
chr20,chr20:34130200-34131600,ENSG00000125975,chr20:34110014-34111013,chr20:34117482-34118481,4
chr12,chr12:13111800-13112400,ENSG00000111291,chr12:13092709-13093708,chr12:13105082-13106081,4
chr12,chr12:103993600-103995600,ENSG00000136011,chr12:103980051-103981050,chr12:104160506-104161505,4
chr2,chr2:49357400-49357600,ENSG00000170820,chr2:49188296-49189295,chr2:49381677-49382676,4
chr17,chr17:39719200-39721000,ENSG00000171403,chr17:39721096-39722095,chr17:39728311-39729310,4
chr11,chr11:26610200-26611600,ENSG00000169550,chr11:26579580-26580579,chr11:26593781-26594780,4
chr16,chr16:65185200-65185800,ENSG00000140937,chr16:64976656-64977655,chr16:65160016-65161015,4
chr16,chr16:62078400-62079000,ENSG00000150394,chr16:61680146-61681145,chr16:62070940-62071939,4
chr11,chr11:6880200-6880400,ENSG00000170782,chr11:6896856-6897855,chr11:6898851-6899850,4
chr7,chr7:143719200-143720200,ENSG00000221813,chr7:143700022-143701021,chr7:143702069-143703068,4
chr1,chr1:162810600-162811000,ENSG00000185860,chr1:162793248-162794247,chr1:162838606-162839605,4
chr16,chr16:22819800-22820200,ENSG00000122254,chr16:22824498-22825497,chr16:22927660-22928659,4
chr11,chr11:5244600-5247000,ENSG00000213934,chr11:5268313-5269312,chr11:5271123-5272122,4
chr3,chr3:48410800-48412200,ENSG00000229453,chr3:48347336-48348335,chr3:48369832-48370831,4
chr9,chr9:14739800-14740400,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr3,chr3:172882200-172883000,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,4
chr1,chr1:151755000-151757400,ENSG00000182134,chr1:151741583-151742582,chr1:151763893-151764892,4
chr5,chr5:77151200-77152000,ENSG00000171530,chr5:76985991-76986990,chr5:77164605-77165604,4
chr8,chr8:7246600-7248400,ENSG00000177257,chr8:7271382-7272381,chr8:7274386-7275385,4
chr15,chr15:27212400-27213400,ENSG00000166206,chr15:26787693-26788692,chr15:27184687-27185686,4
chr6,chr6:123979600-123980400,ENSG00000186439,chr6:123536483-123537482,chr6:123958239-123959238,4
chr9,chr9:14755000-14756200,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr10,chr10:17222400-17224600,ENSG00000107614,chr10:17183253-17184252,chr10:17244054-17245053,4
chr11,chr11:6881600-6882000,ENSG00000166363,chr11:6865883-6866882,chr11:6867937-6868936,4
chr15,chr15:78639200-78641400,ENSG00000166426,chr15:78631666-78632665,chr15:78640573-78641572,4
chr8,chr8:87080000-87082400,ENSG00000147613,chr8:87059602-87060601,chr8:87100851-87101850,4
chr18,chr18:61206800-61208800,ENSG00000166634,chr18:61222393-61223392,chr18:61234245-61235244,4
chr9,chr9:122163000-122163800,ENSG00000078725,chr9:121914736-121915735,chr9:122131746-122132745,4
chr11,chr11:6916200-6917000,ENSG00000170782,chr11:6896856-6897855,chr11:6898851-6899850,4
chr18,chr18:44343600-44345600,ENSG00000101638,chr18:44258081-44259080,chr18:44339221-44340220,4
chr2,chr2:131504600-131505400,ENSG00000178171,chr2:131512008-131513007,chr2:131525708-131526707,4
chr13,chr13:50603000-50605000,ENSG00000198553,chr13:50588390-50589389,chr13:50595059-50596058,4
chr1,chr1:60524400-60525000,ENSG00000162598,chr1:60451941-60452940,chr1:60539443-60540442,4
chr1,chr1:150655600-150657800,ENSG00000143452,chr1:150669536-150670535,chr1:150693365-150694364,4
chr9,chr9:14743600-14744000,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr3,chr3:172888200-172888600,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,4
chr1,chr1:162830800-162832600,ENSG00000185860,chr1:162793248-162794247,chr1:162838606-162839605,4
chr12,chr12:13113600-13114400,ENSG00000111291,chr12:13092709-13093708,chr12:13105082-13106081,4
chr15,chr15:23918400-23918600,ENSG00000182636,chr15:23929565-23930564,chr15:23932451-23933450,4
chr6,chr6:50836000-50837400,ENSG00000008196,chr6:50785436-50786435,chr6:50815327-50816326,4
chr11,chr11:5364000-5366000,ENSG00000184881,chr11:5343541-5344540,chr11:5345583-5346582,4
chr3,chr3:58379800-58382000,ENSG00000168291,chr3:58412357-58413356,chr3:58419585-58420584,4
chr5,chr5:95022200-95023600,ENSG00000145757,chr5:94986885-94987884,chr5:95034416-95035415,4
chr5,chr5:154117200-154118000,ENSG00000155506,chr5:154091462-154092461,chr5:154197168-154198167,4
chr8,chr8:7299400-7299600,ENSG00000177257,chr8:7271382-7272381,chr8:7274386-7275385,4
chr12,chr12:6301800-6304000,ENSG00000010278,chr12:6307881-6308880,chr12:6347426-6348425,4
chr9,chr9:14726800-14728000,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr3,chr3:193127600-193127800,ENSG00000187527,chr3:192991579-192992578,chr3:193096633-193097632,4
chr7,chr7:123551000-123551400,ENSG00000106304,chr7:123564286-123565285,chr7:123611469-123612468,4
chr6,chr6:31123400-31125600,ENSG00000204538,chr6:31104313-31105312,chr6:31107128-31108127,4
chr20,chr20:43444800-43445200,ENSG00000101098,chr20:43379449-43380448,chr20:43438980-43439979,4
chr3,chr3:12782200-12784400,ENSG00000088726,chr3:12774024-12775023,chr3:12810957-12811956,4
chr13,chr13:103691200-103692600,ENSG00000125255,chr13:103695350-103696349,chr13:103719197-103720196,4
chr22,chr22:32143200-32145400,ENSG00000100150,chr22:32148944-32149943,chr22:32303013-32304012,4
chr7,chr7:16594000-16595000,ENSG00000205858,chr7:16565505-16566504,chr7:16621194-16622193,4
chr3,chr3:172832000-172832200,ENSG00000144962,chr3:172606148-172607147,chr3:172859059-172860058,4
chr1,chr1:162813400-162813600,ENSG00000185860,chr1:162793248-162794247,chr1:162838606-162839605,4
chr3,chr3:100997800-100999400,ENSG00000081148,chr3:100940390-100941389,chr3:101039405-101040404,4
chr11,chr11:26570200-26570600,ENSG00000169550,chr11:26579580-26580579,chr11:26593781-26594780,4
chr3,chr3:158721200-158723400,ENSG00000214216,chr3:158679717-158680716,chr3:158984097-158985096,4
chr5,chr5:169419800-169421000,ENSG00000204767,chr5:169290268-169291267,chr5:169407745-169408744,4
chr3,chr3:158666800-158667400,ENSG00000250588,chr3:158679024-158680023,chr3:159615156-159616155,4
chr6,chr6:52668400-52669800,ENSG00000182793,chr6:52695453-52696452,chr6:52710894-52711893,4
chr4,chr4:175784800-175785800,ENSG00000168594,chr4:175749819-175750818,chr4:175899332-175900331,4
chr7,chr7:123650400-123652000,ENSG00000234224,chr7:123669973-123670972,chr7:123673524-123674523,4
chr14,chr14:22081600-22082800,ENSG00000255582,chr14:22100992-22101991,chr14:22103097-22104096,4
chr3,chr3:158668600-158669000,ENSG00000250588,chr3:158679024-158680023,chr3:159615156-159616155,4
chr1,chr1:119970400-119972400,ENSG00000203859,chr1:119956554-119957553,chr1:119965659-119966658,4
chr11,chr11:5382600-5384200,ENSG00000184881,chr11:5343541-5344540,chr11:5345583-5346582,4
chr8,chr8:56096800-56097200,ENSG00000253976,chr8:56046763-56047762,chr8:56054919-56055918,4
chr10,chr10:96433400-96434000,ENSG00000108242,chr10:96442251-96443250,chr10:96495948-96496947,4
chr9,chr9:14745800-14746000,ENSG00000147869,chr9:14718722-14719721,chr9:14722716-14723715,4
chr8,chr8:88938600-88938800,ENSG00000176566,chr8:88881973-88882972,chr8:88886297-88887296,4
chr2,chr2:47563000-47565000,ENSG00000119888,chr2:47571297-47572296,chr2:47614741-47615740,4
chr5,chr5:56275600-56276400,ENSG00000155545,chr5:56214429-56215428,chr5:56267503-56268502,5
chr5,chr5:137957400-137959400,ENSG00000044115,chr5:137945656-137946655,chr5:138270724-138271723,5
chr11,chr11:118826200-118828200,ENSG00000176302,chr11:118841417-118842416,chr11:118852002-118853001,5
chr1,chr1:29122600-29124000,ENSG00000116329,chr1:29137654-29138653,chr1:29190209-29191208,5
chr4,chr4:188898600-188899400,ENSG00000179059,chr4:188915925-188916924,chr4:188926205-188927204,5
chr9,chr9:138439200-138439800,ENSG00000122133,chr9:138452602-138453601,chr9:138458802-138459801,5
chr12,chr12:117904200-117906200,ENSG00000089250,chr12:117644947-117645946,chr12:117889976-117890975,5
chr5,chr5:150701400-150702600,ENSG00000186334,chr5:150655323-150656322,chr5:150683328-150684327,5
chr6,chr6:33722200-33723800,ENSG00000161896,chr6:33688444-33689443,chr6:33714763-33715762,5
chr2,chr2:231876200-231878200,ENSG00000173699,chr2:231859836-231860835,chr2:231889771-231890770,5
chr7,chr7:64309200-64311200,ENSG00000198039,chr7:64329550-64330549,chr7:64391345-64392344,5
chr15,chr15:90865800-90866600,ENSG00000238244,chr15:90889819-90890818,chr15:90892670-90893669,5
chr10,chr10:47737600-47738200,ENSG00000215033,chr10:47745962-47746961,chr10:47770872-47771871,5
chr11,chr11:69626200-69627000,ENSG00000186895,chr11:69623992-69624991,chr11:69633793-69634792,5
chr9,chr9:138425600-138427000,ENSG00000122133,chr9:138452602-138453601,chr9:138458802-138459801,5
chr8,chr8:75501600-75503400,ENSG00000254349,chr8:75511010-75512009,chr8:75735549-75736548,5
chr19,chr19:49532400-49533600,ENSG00000104827,chr19:49525126-49526125,chr19:49527591-49528590,5
chr5,chr5:135237400-135238000,ENSG00000145839,chr5:135226935-135227934,chr5:135231517-135232516,5
chr4,chr4:76486600-76488200,ENSG00000174792,chr4:76480258-76481257,chr4:76491096-76492095,5
chr1,chr1:29145200-29145400,ENSG00000116329,chr1:29137654-29138653,chr1:29190209-29191208,5
chr5,chr5:150703000-150703200,ENSG00000186334,chr5:150655323-150656322,chr5:150683328-150684327,5
chr10,chr10:118417200-118418000,ENSG00000165863,chr10:118422207-118423206,chr10:118429776-118430775,5
chrX,chrX:55188200-55188800,ENSG00000256045,chrX:55206824-55207823,chrX:55208945-55209944,5
chr12,chr12:53162000-53163400,ENSG00000185069,chr12:53160939-53161938,chr12:53171130-53172129,5
chr9,chr9:138431000-138431800,ENSG00000122133,chr9:138452602-138453601,chr9:138458802-138459801,5
chr19,chr19:3902200-3902800,ENSG00000167654,chr19:3878862-3879861,chr19:3928078-3929077,5
chr8,chr8:10371800-10372600,ENSG00000184647,chr8:10382056-10383055,chr8:10411677-10412676,5
chr14,chr14:24123400-24124000,ENSG00000100867,chr14:24098324-24099323,chr14:24114849-24115848,5
chr4,chr4:178355400-178356000,ENSG00000038002,chr4:178350924-178351923,chr4:178363658-178364657,5
chr5,chr5:180541200-180543600,ENSG00000185372,chr5:180550357-180551356,chr5:180552305-180553304,5
chr8,chr8:144842400-144843800,ENSG00000180921,chr8:144805103-144806102,chr8:144815972-144816971,5
chr9,chr9:21478600-21479600,ENSG00000184995,chr9:21479841-21480840,chr9:21482313-21483312,5
chr5,chr5:150705400-150706400,ENSG00000186334,chr5:150655323-150656322,chr5:150683328-150684327,5
chr12,chr12:40781600-40783400,ENSG00000205592,chr12:40786197-40787196,chr12:40964633-40965632,5
chr14,chr14:71367600-71369200,ENSG00000100731,chr14:71373122-71374121,chr14:71582100-71583099,5
chr10,chr10:47737600-47738200,ENSG00000186807,chr10:47745936-47746935,chr10:47763042-47764041,5
chr8,chr8:10373000-10373600,ENSG00000184647,chr8:10382056-10383055,chr8:10411677-10412676,5
chr12,chr12:12232000-12233000,ENSG00000121380,chr12:12201778-12202777,chr12:12364019-12365018,5
chr16,chr16:30386800-30389200,ENSG00000180209,chr16:30381255-30382254,chr16:30389313-30390312,5
chr19,chr19:39748600-39750400,ENSG00000183709,chr19:39758154-39759153,chr19:39760733-39761732,5
chr5,chr5:56279000-56281000,ENSG00000155545,chr5:56214429-56215428,chr5:56267503-56268502,5
chr7,chr7:91764600-91765600,ENSG00000001630,chr7:91740465-91741464,chr7:91772267-91773266,5
chr15,chr15:55818600-55819600,ENSG00000256061,chr15:55701723-55702722,chr15:55800433-55801432,5
chr11,chr11:74750800-74752600,ENSG00000171561,chr11:74798758-74799757,chr11:74800800-74801799,5
chr17,chr17:44914800-44915400,ENSG00000108379,chr17:44838872-44839871,chr17:44910521-44911520,5
chr9,chr9:71750800-71753200,ENSG00000119139,chr9:71735209-71736208,chr9:71870125-71871124,5
chr4,chr4:610200-612600,ENSG00000133256,chr4:618373-619372,chr4:664572-665571,5
chr19,chr19:40590200-40592200,ENSG00000197782,chr19:40574059-40575058,chr19:40596846-40597845,5
chr17,chr17:44921600-44922800,ENSG00000158955,chr17:44909567-44910566,chr17:44964097-44965096,5
chr16,chr16:11384400-11386200,ENSG00000178257,chr16:11366144-11367143,chr16:11367453-11368452,5
chr2,chr2:1381000-1383400,ENSG00000115705,chr2:1376995-1377994,chr2:1547484-1548483,5
chr5,chr5:77157600-77158000,ENSG00000171530,chr5:76985991-76986990,chr5:77164605-77165604,5
chr19,chr19:49215400-49217000,ENSG00000176909,chr19:49214999-49215998,chr19:49222979-49223978,5
chr5,chr5:54471400-54473600,ENSG00000164287,chr5:54407799-54408798,chr5:54469006-54470005,5
chr16,chr16:11384400-11386200,ENSG00000178279,chr16:11360605-11361604,chr16:11363391-11364390,5
chr16,chr16:22172800-22174600,ENSG00000183921,chr16:22176618-22177617,chr16:22203076-22204075,5
chr1,chr1:176415000-176416200,ENSG00000116183,chr1:176431307-176432306,chr1:176814736-176815735,5
chr4,chr4:8576600-8578200,ENSG00000109625,chr4:8593387-8594386,chr4:8621489-8622488,5
chr19,chr19:51263000-51264600,ENSG00000142511,chr19:51272721-51273720,chr19:51274990-51275989,5
chr15,chr15:101435800-101436200,ENSG00000184254,chr15:101416919-101417918,chr15:101456832-101457831,5
chr1,chr1:241809400-241811600,ENSG00000162843,chr1:241814580-241815579,chr1:241965436-241966435,5
chr1,chr1:248046600-248047000,ENSG00000238243,chr1:248030277-248031276,chr1:248060450-248061449,5
chr14,chr14:77701200-77701600,ENSG00000165553,chr14:77730826-77731825,chr14:77737656-77738655,5
chr2,chr2:122488200-122490000,ENSG00000211460,chr2:122493679-122494678,chr2:122525430-122526429,5
chr1,chr1:29128000-29129200,ENSG00000116329,chr1:29137654-29138653,chr1:29190209-29191208,5
chr1,chr1:41482800-41484000,ENSG00000171790,chr1:41480269-41481268,chr1:41488910-41489909,5
chr14,chr14:39911000-39912200,ENSG00000165355,chr14:39865873-39866872,chr14:39901705-39902704,5
chr1,chr1:110057400-110058200,ENSG00000181754,chr1:110045797-110046796,chr1:110052361-110053360,5
